Date,Open,High,Low,Close,Volume
2016-12-12,209.63070524290453,210.14923830393766,209.03811015887652,209.4918212890625,102016100
2016-12-13,210.20478920374936,211.42701036771012,210.1862666339463,210.8899688720703,110477500
2016-12-14,210.5659191593466,211.32517504158614,208.6770124822567,209.1492462158203,142501800
2016-12-15,209.40851135427803,210.93629150997108,209.15850608438151,210.01036071777344,124972600
2016-12-16,210.50302648191612,210.56823047281088,209.25496979656398,209.59957885742188,156420200
2016-12-19,209.7951816921052,210.51235455001702,209.63684741134512,210.05596923828125,90341100
2016-12-20,210.63347066042607,211.02466627570507,210.382006037279,210.86631774902344,89838800
2016-12-21,210.72658813023438,210.912862934829,210.27952575683597,210.27952575683594,67909000
2016-12-22,210.12116628968815,210.25156005846878,209.48781497571437,209.916259765625,56219100
2016-12-23,209.96284628649173,210.23295683751664,209.7579539464872,210.22364807128906,36697800
2016-12-27,210.5123616938286,211.17363934698167,210.4937299507965,210.74520874023438,42672500
2016-12-28,211.02463445214926,211.04325198389137,208.88243871773557,209.00350952148438,64095000
2016-12-29,209.07799522655722,209.45986775569529,208.48190741525698,208.95692443847656,48696100
2016-12-30,209.31086980394656,209.4040143102898,207.44809337193246,208.19320678710938,108998300
2017-01-03,209.59959965760598,210.3354043131419,208.51920011887037,209.785888671875,91366500
2017-01-04,210.1398422232015,211.19231564277732,210.1305334556496,211.0339813232422,78744400
2017-01-05,210.74524692701655,211.0339750429799,210.00944216840816,210.86631774902344,78379000
2017-01-06,210.98737614786552,212.12367093372356,210.4005970108804,211.6207275390625,71559900
2017-01-09,211.3413326059028,211.4903581518297,210.88494720094855,210.92221069335938,46939700
2017-01-10,210.94082822770656,211.84427605858323,210.50307456895771,210.92221069335938,63771900
2017-01-11,210.8290628080721,211.51829528808594,210.11188981512535,211.51829528808594,74650000
2017-01-12,210.95942521388102,211.19227226157847,209.5250936532814,210.98736572265625,72113200
2017-01-13,211.17368961062382,211.79771813810004,211.1364403275494,211.47174072265625,62717900
2017-01-17,210.78247403906687,211.22022765653813,210.30747114455542,210.72659301757812,61240800
2017-01-18,210.9966782242308,211.23884825371184,210.40059034004517,211.19227600097656,54793300
2017-01-19,211.2761116370853,211.4251371710472,209.9442332334261,210.40992736816406,66608800
2017-01-20,211.14571990865474,211.7138673270546,210.46581044462124,211.1829833984375,129168600
2017-01-23,211.18298325413087,211.2481730434202,209.8138413486251,210.63345336914062,75061600
2017-01-24,210.86630096568882,212.4310406666882,210.74523015331823,211.98397827148438,95555300
2017-01-25,213.00848445914212,213.81880187988278,212.8315184222924,213.8188018798828,84437700
